Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
1375;Nieuwkoopstraat 15;Elderveld Zuid;Dynamic;3,6;0
448;Goeman Borgiusplein 6 overzijde;Sonsbeek Noord;Dynamic;12,4;0
2420;Radarpad 3;Schaarsbergen;Dynamic;10,2;0
1218;Keurvorstlaan 32 schuin overzijde;Immerloo II;Dynamic;3,1;0
891;Woudrichemstraat 84;De Laar West;Dynamic;2,5;0
1780;Albert Schweitzestraat 20;Rijkerswoerd Midden;Dynamic;6,1;0
2587;Kronenburgsingel 8;Kronenburg;Scheduled;12,2;14
295;Gildemeesterplein 2-294;Winkelcentrum;Dynamic;6,3;0
346;Johannastraat 85 zijkant;Klarendal Zuid;Dynamic;4,4;0
2373;Dr, J,C, Hartogslaan (HIGH PARK);Velperweg Noord;Dynamic;64,1;0
330;St, Antonielaan 73 overzijde;Graaf Ottoplein e,o,;Dynamic;8,5;0
2480(*);Ogentroost;Malburgen-West;Dynamic;5;10
809;Kronenburgsingel 205-209;Kronenburg;Dynamic;8,9;0
1951;Grensweg 27 overzijde;Arnhemse Allee;Dynamic;4,5;0
1757;Dr, Christine Baderstraat 29;Rijkerswoerd Midden;Dynamic;6,8;0
824;Groningensingel zijkant 949(naast Chinees);Vredenburg;Dynamic;5,9;0
17;Ir J,P, van Muijlwijkstraat 49;Hommelstraat;Dynamic;8,4;0
1376;Rotterdamsingel 16 overzijde;Elderveld Noord;Dynamic;5,3;0
518;Burgemeester Bloemersweg 44 - 46;Monnikenhuizen;Dynamic;6,2;0
990;Dintelstraat/Laan van Presikhaaf;Presikhaaf I;Dynamic;5,2;0
229;Wijde Slag t/h No, 9-13;Over het Lange Water;Dynamic;3,2;0
381;J,P, Heijestraat  1 - 1a;Onder de Linden;Dynamic;5,9;0
516;Dr, Schaepmanlaan 100;Monnikenhuizen;Dynamic;5,4;0
2344;Winterkleed;Schuytgraaf-Zuid;Dynamic;3,4;0
1720;Drentesingel naast 85;Vredenburg;Dynamic;4,9;0
1284;Dalweg tegenover 85;Sonsbeek Noord;Dynamic;25,6;0
1908;Reigerstraat 16;Geitenkamp;Dynamic;5,2;0
1113;Druckerstraat 25;Geitenkamp;Dynamic;3;0
